Date;Period;Id;Name;TotalHeat;PercentageUsed;TotalCO2;TotalCost
01-03-2024 00:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;368,56
01-03-2024 00:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 00:00;Winter;2;Oil Boiler 1;0,12;3,00;9,90;80,40
01-03-2024 01:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;463,17
01-03-2024 01:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 01:00;Winter;2;Oil Boiler 1;0,35;8,75;28,87;234,50
01-03-2024 02:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;562,83
01-03-2024 02:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 02:00;Winter;2;Oil Boiler 1;0,48;12,00;39,60;321,60
01-03-2024 03:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;602,09
01-03-2024 03:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 03:00;Winter;2;Oil Boiler 1;0,54;13,50;44,55;361,80
01-03-2024 04:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;640,78
01-03-2024 04:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 04:00;Winter;2;Oil Boiler 1;1,22;30,50;100,65;817,40
01-03-2024 05:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;580,22
01-03-2024 05:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 05:00;Winter;2;Oil Boiler 1;1,35;33,75;111,37;904,50
01-03-2024 06:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;65,76
01-03-2024 06:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 06:00;Winter;2;Oil Boiler 1;1,65;41,25;136,13;1105,50
01-03-2024 07:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;-339,58
01-03-2024 07:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 07:00;Winter;2;Oil Boiler 1;1,12;28,00;92,40;750,40
01-03-2024 08:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;-717,83
01-03-2024 08:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 08:00;Winter;2;Oil Boiler 1;1,05;26,25;86,62;703,50
01-03-2024 09:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;59,78
01-03-2024 09:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 09:00;Winter;2;Oil Boiler 1;1,10;27,50;90,75;737,00
01-03-2024 10:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;988,47
01-03-2024 10:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 10:00;Winter;2;Oil Boiler 1;1,25;31,25;103,12;837,50
01-03-2024 11:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1169,38
01-03-2024 11:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 11:00;Winter;2;Oil Boiler 1;0,56;14,00;46,20;375,20
01-03-2024 12:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1228,19
01-03-2024 12:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 12:00;Winter;2;Oil Boiler 1;0,18;4,50;14,85;120,60
01-03-2024 13:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1242,31
01-03-2024 13:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 13:00;Winter;2;Oil Boiler 1;0,23;5,75;18,98;154,10
01-03-2024 14:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1254,69
01-03-2024 14:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 14:00;Winter;2;Oil Boiler 1;0,34;8,50;28,05;227,80
01-03-2024 15:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1038,97
01-03-2024 15:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 15:00;Winter;2;Oil Boiler 1;0,80;20,00;66,00;536,00
01-03-2024 16:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;986,52
01-03-2024 16:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 16:00;Winter;2;Oil Boiler 1;0,89;22,25;73,42;596,30
01-03-2024 17:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;992,14
01-03-2024 17:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 17:00;Winter;2;Oil Boiler 1;1,18;29,50;97,35;790,60
01-03-2024 18:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1475,45
01-03-2024 18:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 18:00;Winter;2;Oil Boiler 1;0,88;22,00;72,60;589,60
01-03-2024 19:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1602,18
01-03-2024 19:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 19:00;Winter;2;Oil Boiler 1;0,90;22,50;74,25;603,00
01-03-2024 20:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1654,62
01-03-2024 20:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 20:00;Winter;2;Oil Boiler 1;1,06;26,50;87,45;710,20
01-03-2024 21:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1735,12
01-03-2024 21:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 21:00;Winter;2;Oil Boiler 1;1,19;29,75;98,18;797,30
01-03-2024 22:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1739,74
01-03-2024 22:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 22:00;Winter;2;Oil Boiler 1;1,16;29,00;95,70;777,20
01-03-2024 23:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1809,40
01-03-2024 23:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
01-03-2024 23:00;Winter;2;Oil Boiler 1;1,04;26,00;85,80;696,80
02-03-2024 00:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1865,19
02-03-2024 00:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 00:00;Winter;2;Oil Boiler 1;1,08;27,00;89,10;723,60
02-03-2024 01:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1933,89
02-03-2024 01:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 01:00;Winter;2;Oil Boiler 1;1,18;29,50;97,35;790,60
02-03-2024 02:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 02:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1962,51
02-03-2024 02:00;Winter;2;Oil Boiler 1;1,21;30,25;99,83;810,70
02-03-2024 03:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 03:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1963,08
02-03-2024 03:00;Winter;2;Oil Boiler 1;1,20;30,00;99,00;804,00
02-03-2024 04:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1948,78
02-03-2024 04:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 04:00;Winter;2;Oil Boiler 1;1,66;41,50;136,95;1112,20
02-03-2024 05:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1858,23
02-03-2024 05:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 05:00;Winter;2;Oil Boiler 1;1,95;48,75;160,87;1306,50
02-03-2024 06:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1829,00
02-03-2024 06:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 06:00;Winter;2;Oil Boiler 1;2,01;50,25;165,82;1346,70
02-03-2024 07:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1673,44
02-03-2024 07:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 07:00;Winter;2;Oil Boiler 1;1,29;32,25;106,42;864,30
02-03-2024 08:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1463,88
02-03-2024 08:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 08:00;Winter;2;Oil Boiler 1;1,14;28,50;94,05;763,80
02-03-2024 09:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1377,59
02-03-2024 09:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 09:00;Winter;2;Oil Boiler 1;1,21;30,25;99,83;810,70
02-03-2024 10:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1433,31
02-03-2024 10:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 10:00;Winter;2;Oil Boiler 1;1,14;28,50;94,05;763,80
02-03-2024 11:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1601,06
02-03-2024 11:00;Winter;1;Gas Boiler 2;3,00;100,00;130,00;1680,00
02-03-2024 11:00;Winter;2;Oil Boiler 1;0,49;12,25;40,43;328,30
02-03-2024 12:00;Winter;3;Gas Motor 1;3,50;100,00;650,00;1664,34
02-03-2024 12:00;Winter;1;Gas Boiler 2;2,89;96,33;125,23;1618,40
