Date;Period;Id;Name;TotalHeat;PercentageUsed;TotalCO2;TotalCost
01-03-2024 00:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 00:00;Winter;1;Gas Boiler 2;2.62;87.33;113.53;1467.20
01-03-2024 00:00;Winter;4;Heat Pump 1;0.00;0.00;0.00;0.00
01-03-2024 01:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 01:00;Winter;1;Gas Boiler 2;2.85;95.00;123.50;1596.00
01-03-2024 01:00;Winter;4;Heat Pump 1;0.00;0.00;0.00;0.00
01-03-2024 02:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 02:00;Winter;1;Gas Boiler 2;2.98;99.33;129.13;1668.80
01-03-2024 02:00;Winter;4;Heat Pump 1;0.00;0.00;0.00;0.00
01-03-2024 03:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 03:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 03:00;Winter;4;Heat Pump 1;0.04;0.67;0.00;46.44
01-03-2024 04:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 04:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 04:00;Winter;4;Heat Pump 1;0.72;12.00;0.00;825.29
01-03-2024 05:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 05:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 05:00;Winter;4;Heat Pump 1;0.85;14.17;0.00;994.10
01-03-2024 06:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 06:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 06:00;Winter;4;Heat Pump 1;1.15;19.17;0.00;1572.51
01-03-2024 07:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 07:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 07:00;Winter;4;Heat Pump 1;0.62;10.33;0.00;944.45
01-03-2024 08:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 08:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 08:00;Winter;4;Heat Pump 1;0.55;9.17;0.00;917.83
01-03-2024 09:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 09:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 09:00;Winter;4;Heat Pump 1;0.60;10.00;0.00;821.82
01-03-2024 10:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 10:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 10:00;Winter;4;Heat Pump 1;0.75;12.50;0.00;759.38
01-03-2024 11:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
01-03-2024 11:00;Winter;1;Gas Boiler 2;3.00;100.00;130.00;1680.00
01-03-2024 11:00;Winter;4;Heat Pump 1;0.06;1.00;0.00;56.58
01-03-2024 12:00;Winter;0;Gas Boiler 1;4.00;100.00;175.00;2080.00
